公司名,工作名,薪资,学历要求,工作经验,是否全职,公司类型,公司规模,任职要求
上海集钢电子商务有限公司,Python工程师,6K-8K,大专,不限,全职,民营,100-499人,岗位职责: 1.后端实现，保障稳定性、性能。包括需求分析分解、设计、开发;2.与产品其他部分联动，使用规范的流程思维，定义接口设计并跟进完成;3.处理服务端开发中的常见问题;任职要求: 1.计算机等相关专业的专科以上学历； 2.熟练使用 Python 及 Linux环境，Redis、MySQL数据；3.熟悉敏捷开发；4.具备良好的团队合作和沟通能力，具备良好的学习钻研能力；5.优越的办公环境，朝九晚六周末双休，
亚创(上海)工程技术有限公司,python开发,10K-17K,本科,3-5年,全职,外商独资,10000人以上,"?Project & Job Description:CNOMis a GUI-based application, it is developed to simplify telecommunicationoperators network operation and management, such as Network Monitoring, HealthCheck, Troubleshooting and UE trace, etc.Thisrole requires the candidate to work on both frontend and backend webapplication development and experience in packet core node is a plus.? Responsibilities:Involve in whole softwaredevelopment phases, include design, testing, integration and documentation. Work together withproduct owner and team members to develop new features to fulfill productneeds, build better and faster development and testing process.Collect feedback from stakeholdersand continuously improve the product.?Qualifications: Degree in Computer Science or     comparable qualification. Advanced Python development skill. Ability to do full stack development.Experience with JavaScript, HTML, CSS,better to have experience with modern web framework such as Vuejs, Angularjs,Reactjs, etc.Good understanding offrontend modular design. The experience with Nodejs and MongoDB     is preferred.  Good knowledge of system     administration on Linux systems.Great communication and teamcollaboration skills. Open minded, critical thinking and     innovative spirit. Self-motivated and result oriented. Good oral and written English. Experience with Packet Core network     knowledge, able to manage/troubleshooting on SGSN-MME/EPG is a plus. Knowledge of web security and     understanding of networking protocols and services is a plus."
北京神州新桥科技有限公司,python工程师-上海,12.5K-25K,本科,3-5年,全职,民营,500-999人,"岗位职责:1.负责api应用的设计，开发，测试和发布。 搭建系统开发环境，完成系统代码的编写；2.负责系统架构的设计，组件的选型，文档的编写；3.参与数据etl设计开发；4.负责公司应用系统的日常维护。岗位要求：1.优秀本科学校毕业，及以上学历，计算机相关专业；2.精通Python开发，3年以上Python项目研发经验，至少有2个以上独立项目经验。熟悉http，https协议，熟悉tcp协议，熟悉常用存储系统:MySQL、Redis等；熟悉kafka或者其他同类产品 熟悉Unix/Linux系统； 熟悉常用数据结构和算法；3.熟悉Django web，django restful开发测试框架。有实际项目经验者优先。有较强的学习，沟通和团队协作能力。能独立完成任务；4.熟练使用python的常用库，熟悉Numpy，pandas；5.熟悉linux 操作系统，能够熟练进行软件安装，系统管理；6.至少熟悉一种常用的如cdh 、星环、华为大数据平台，能够独立完成平台的搭建；7. 熟悉常用的大数据组件hive ，hbase,impala,hdfs,hue,spark,yarn,等组件的使用和工作原理；8.熟悉常用的关系型数据库mysql,oracle等，熟练编写常用的sql；9. 熟悉Python的高级特性，深入理解各种设计模式和应用场景；10. 热爱软件研发工作，学习能力强。"
上海迈司默投资中心(有限合伙),Python,12K-16K,本科,3-5年,全职,民营,100-499人,岗位职责1.日常的数据抓取工作，参与爬虫框架的设计和改进2.清洗和挖掘抓取的数据3.为数据使用者提供Restful风格的API4.Git+DevOps开发，在公司的自动化运维系统部署任职要求1.熟练使用PythonShell，对算法和数据结构有一定理解2.具备Linux下的开发经验，对于定时、程序计划、并发、异步有一定了解和经验3.有良好的编程习惯，注意编程规范，单元测试等细节4.了解并掌握MySQL和NoSQL的使用5.熟悉Git，DevOps，微服务开发6.能够独立阅读英文的API文档具有以下经验者优先考虑1.参与过爬虫项目的，对页面解析，绕过IP封锁，对抗反爬虫有一定经验者2.熟悉AWS或其他云计算平台者3.对Apple生态了解，使用iOS设备和Mac设备，了解前端技术4.有架构设计，带团队经验
上海连宜企业管理中心,Python,12K-16K,本科,3-5年,全职,民营,1000-9999人,岗位职责1.日常的数据抓取工作，参与爬虫框架的设计和改进2.清洗和挖掘抓取的数据3.为数据使用者提供Restful风格的API4.Git+DevOps开发，在公司的自动化运维系统部署任职要求1.熟练使用PythonShell，对算法和数据结构有一定理解2.具备Linux下的开发经验，对于定时、程序计划、并发、异步有一定了解和经验3.有良好的编程习惯，注意编程规范，单元测试等细节4.了解并掌握MySQL和NoSQL的使用5.熟悉Git，DevOps，微服务开发6.能够独立阅读英文的API文档具有以下经验者优先考虑1.参与过爬虫项目的，对页面解析，绕过IP封锁，对抗反爬虫有一定经验者2.熟悉AWS或其他云计算平台者3.对Apple生态了解，使用iOS设备和Mac设备，了解前端技术4.有架构设计，带团队经验
亚创(上海)工程技术有限公司,资深Python（前端）,20K-28K,本科,5-10年,全职,外商独资,10000人以上," Job Description: We are now loking for a developer IMS 0&M system. Your role will incude development activities such as: requirement design and refactoring, integration, verification and product documentation. Our focus is on Lean and Agile ways of worki cross functional development teams in which continuous improvement, innovation and knowledge sharing. Responsibility Design, test, deploy and maintain a set of GUl-based aplcaions Frontend and backend functionalities development Optimize front end user experience and response speed Optimize architecture and performance Machine learning and AI for automatic ff-line trouble shooting function. Key Qualifications Education: Bachelor or Master of Science(e.g Cs, EE) Experience working in Full Stack Web Development Development experience with JavaScript CSS/LESS and Nodels Python Development Experience Expenence in MongoDB,premetheus-- Experience with Continuous Integration and Continwous Deployment Experience working in a Git / Gerrit based development flow Excellent knowledge in Linux environments Container technologr experience for xirtuelizatiorandcloud les Docker,Kobermetes Proficiency in test automation and passion for TDD Knowledge of embedded systems Knowledge of wireless communication protocols (eg. LTE, WCDMA) Good communication in English "
量子体育VSPN,Python开发工程师 (MJ000231),6K-10K,本科,不限,全职,民营,500-999人,1、参与公司Python产品研发；2、根据项目具体要求，承担开发任务并按计划完成任务目标；3、负责编制与项目相关的技术文档；4、协助测试人员完成相关软件的模块测试及自动化测试任职要求：1、熟悉开发语言，具备较强的学习能力2、了解Linux、数据库等，具备基本使用能力3、认真负责，具备良好的沟通协调能力
上海具始办公用品中心,Python,12K-16K,本科,3-5年,全职,民营,100-499人,岗位职责1.日常的数据抓取工作，参与爬虫框架的设计和改进2.清洗和挖掘抓取的数据3.为数据使用者提供Restful风格的API4.Git+DevOps开发，在公司的自动化运维系统部署任职要求1.熟练使用PythonShell，对算法和数据结构有一定理解2.具备Linux下的开发经验，对于定时、程序计划、并发、异步有一定了解和经验3.有良好的编程习惯，注意编程规范，单元测试等细节4.了解并掌握MySQL和NoSQL的使用5.熟悉Git，DevOps，微服务开发6.能够独立阅读英文的API文档具有以下经验者优先考虑1.参与过爬虫项目的，对页面解析，绕过IP封锁，对抗反爬虫有一定经验者2.熟悉AWS或其他云计算平台者3.对Apple生态了解，使用iOS设备和Mac设备，了解前端技术4.有架构设计，带团队经验
锐仕方达(北京)人力资源顾问有限公司三河市燕郊分公司,python后台开发工程师,10K-15K,本科,3-5年,全职,民营,20-99人,"1. 计算机、通信、数学、工程、机械等相关专业毕业；3年以上PythonWeb开发经验；2. 精通Python语言，熟练掌握PythonWeb服务搭建部署流程；3. 熟悉常见的Python服务框架，包括但不限于Django, Tornado，Flask等；4. 熟悉常见的中间件，包括但不限于RabbitMQ、Redis、Kafka、Nginx等；5. 熟悉常见的存储方案，包括但不限于MySQL、MongoDB、HBase、Ceph等；6. 熟悉常用的开发工具，如Git、SVN等；7. 有良好的代码风格和开发习惯，懂得单元测试原理；8. 熟悉容器技术如Docker、K8s者优先；9. 熟悉常见的设计模式、软件设计软则者优先；10. 熟悉CICD、Devops流程者优先。其他要求：1.良好的沟通能力；2.性格积极乐观，诚信，有较强的语言表达能力，具备强烈的进取心、求知欲及团队合作精神。"
重庆软维科技有限公司,Python开发工程师,10K-15K,本科,1-3年,全职,民营,100-499人,掌握Pyhton的web开发技术，熟练掌握Django框架技术；相关工作经验 1-2年；沟通能力强，愿意驻场工作
上海众言网络科技有限公司,python高级开发,25K-35K,本科,5-10年,全职,民营,100-499人,岗位要求：?1、全日制统招本科及以上学历，计算机、软件工程等相关专业 ，年龄35岁以内；2、?5年及以上Web服务器端开发经验，有Python经验佳，Java、php亦可；3、有扎实的技术功底、有丰富的数据库建模经验，有丰富的性能优化经验 ；4、熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息等机制；能对分布式常用技术进行合理应用，解决问题；5、具有较深的技术架构思维，确保设计的技术方案、开发的代码有较高性能、质量保障、扩展性，前瞻性 。岗位职责：1、负责问卷网平台服务端设计和代码实现 ；2、优化现有产品的功能和体验细节 ；3、对现有平台进行性能优化 ；4、积极调研新技术，随时准备用于产品 ；在这里，你将拥有——一群让你为之骄傲的小伙伴：热情坚定、乐于分享、自我驱动、追求极致的高效团队自由平等的潜力平台：?福利体系（这只是一部分）：每周两次零食水果下午茶：随便吃，妈妈再也不用担心你长不胖生日会：全体伙伴陪你过 不让你孤单社团：花样运动...... 总有人与你志同道合学习成长：Mentor带你全方位成长，助你成为专业人才欢迎你来发现更多的精彩.....
深圳兴融联科技股份有限公司,python开发工程师,10K-14K,本科,3-5年,全职,民营,100-499人,"1.?计算机等相关专业本科及以上学历。?2.?熟练运用Python语言，三年以上Python/Go开发经验，熟悉?Python常用工具和框架，了解go语言。?3.?熟练使用unittest框架，能够对自己的代码进行完整测试。4.?代码风格简洁，能熟练使用工具进行代码性能分析，性能优化。5.?2年以上Python网站开发经验，熟练使用django,mongodb,redis，有大用户量高并发网站开发经验。6.?熟练使用Linux，shell编程，了解Linux系统基本原理。?7.?能承担较大工作压力，有较强独立分析，解决问题的能力8.?对nginx和uwsgi有深入了解。9.?熟悉VUE架构，能读懂与编写前端JS。任职要求：1.?本科及以上学历，计算机或金融相关专业2.?熟练使用Python，有数据分析或Django框架开发经验；3.?熟练使用mysql、熟悉Redis，Kafka，Docker;4.?熟悉numpy、pandas等科学计算包者优先；5.?有良好的沟通协调能力，团队合作意识，对技术有非常强烈的热情；6.?有金融领域工作经验优先；"
上海向普科技有限公司,Python开发工程师,10K-16K,大专,3-5年,全职,合资,100-499人,任职要求：1、3年以上Python编程经验，Python架构系统经验者优先；2、精通Python语言，了解Python多进程和异步开发，熟悉tornado、celery、dask、asyncio等其中一项或者多项； 3、拥有良好的代码习惯，结构清晰，命名规范，逻辑性强，遵守pylint和pep8规范；4、善于团队合作与管理，对新技术有强烈的探索欲望，责任心强，能够承受工作压力，有强烈的责任心。
上海吾创信息科技有限公司,python开发,10K-15K,本科,1-3年,全职,民营,100-499人,岗位描述：1. 使用python开发数据采集和ETL程序2. 使用python开发业务人员进行数据分析的分析模型和工具产品岗位要求：1.计算机相关、数学/统计学，相关专业本科以上学历，2年以上相关工作经验2.熟练使用数据库MySQL/MongoDB，熟练使用SQL3.熟练使用python，有常用web框架（Flask/Diango/Tornado等）使用经验4.熟练使用linux操作系统5.具有良好的沟通能力，自学能力，业务理解能力，团队协作能力，热爱分享
北京元年科技股份有限公司,自动化测试工程师（Python+Selenium）,11K-15K,本科,3-5年,全职,上市公司,1000-9999人,岗位职责:岗位职责:1、负责公司软件产品的功能测试工作，包括测试方案设计，测试用例编写，测试计划执行，测试结果分析，测试过程管理等；2、参与公司软件产品其它的测试工作； 任职资格:任职资格:1、系统掌握软件测试相关知识；2、对业务感兴趣，能够快速了解和熟悉软件的功能和逻辑，可以根据软件产品，设计相应测试方案，并能分析测试结果；3、3年以上软件测试工作经验，拥有财务、ERP、供应链、OA等相关软件产品测试经验者优先；4、熟练使用Python+Selenium完成ui自动化的项目经验
上海吾创信息科技有限公司,Python自动化脚本开发,9K-12K,本科,1-3年,全职,民营,100-499人, 职位要求： 1、计算机、电子工程及相关专业本科及以上学历， 2、python自动化脚本项目工作经验，熟练使用Ansible、Shell脚本亦可 3、熟悉VMWare虚拟化和云平台、在x86服务器上做过开发优先 4、熟悉开源和云技术优先 5、良好的英语读写能力 
上海华钦瑞成信息技术有限公司,python开发工程师,15K-20K,本科,1-3年,全职,其它,不限,.其中1-2年大数据相关经验，python开发熟练，有spark开发经验加分，熟悉JAVA加分，英语读写熟练，可简单开口要求统招本科，计算机相关专业
北京捷科智诚科技有限公司,ETL工程师/Python开发工程师,8K-10K,本科,1-3年,全职,民营,1000-9999人,ETL开发 ■学历： 统计学、应用数学、计算机等相关专业，本科及以上学历      ■行业工作年限：2年及以上相关工作经验 ■项目经验： ■技术能力：熟悉数据库、ETL，掌握存储过程、SQL脚本开发； ■其他：具有数据清洗、整合相关项目经验者优先；具有较强的数据敏感度，逻辑分析能力和文档写作能力；   Python开发 ■学历： 统计学、应用数学、计算机等相关专业，本科及以上学历      ■行业工作年限：2年及以上相关工作经验 ■项目经验： ■技术能力：熟练Python，掌握numpy、pandas、sklearn等第三方库；具有基于Python的C/S的界面开发能力；具有基于Python的C/S的界面开发能力； ■其他：具有数据抓取经验、熟悉固定收益相关估值方法者优先；具有较强的数据敏感度，逻辑分析能力和文档写作能力；
北京赫斯特广告有限公司上海分公司,Python数据开发工程师,10K-15K,本科,3-5年,全职,外商独资,500-999人,工作职责：1. 参与公司BI系统数据仓库的维护、开发、优化工作。2. 负责数据采集、分析、加工、清洗过程的开发，参与数据映射、数据质量分析、数据差异分析。3. 负责大数据平台/核心产品的数据采集，数据处理流程的设计、优化、改造。4. 为系统开发、业务分析等人员提供数据库方面的技术支持。5. 负责数据采集网络爬虫的架构设计、采集功能开发。6. 负责脚本部署与配置管理，工作流异常处理，系统日常管理、维护和监控。任职要求：1. 计算机、信息技术等相关专业，统招本科及以上学历，1年以上数据开发经验。2. 熟练掌握Python，了解Flask/Django/Tornado等web框架为佳。3. 熟练掌握Mysql数据库开发，包括SQL编写、存储过程编写以及数据库设计，熟悉数据仓库建设优先。4. 对数据采集，处理和分析有一定的经验，有数据仓库搭建经验为佳。5. 善于沟通与表达，具有团队合作精神、敬业精神。
上海泽恩实业有限公司,高级后端Python开发工程师,15K-25K,本科,3-5年,全职,上市公司,100-499人,1、能够根据项目的实际需要，进行开发工作；2、能够保证自己代码的质量，发现和解决系统开发中存在的技术问题；3、配合团队产品等其他人员解决系统运行中的问题，持续优化系统。职位要求：1、本科及以上学历，计算机相关专业，具有2年以上相关工作经验；2、熟练使用Python编程语言，熟悉微服务架构；3、具备使用Django或者其他Python Web开发框架的经验；4、熟悉SQL，熟练操作Mysql；5、熟悉Redis、MongoDB等NoSQL者优先；6、熟悉Linux操作系统，熟悉Nginx等WebServer的部署和应用；7、有大型网络服务高并发、高可用性方面有经验者优先。
苏州米牛电子商务有限公司,Python开发工程师,15K-20K,大专,3-5年,全职,民营,20-99人,"主要职责1、根据开发需求，完成基于Python的模块开发； 2、与各部门团队成员协同配合，完成迭代开发任务，确保产品的顺利上线； 3、遵循开发流程和开发规范，完善代码注释； 职位必备项   跳槽频繁       跳槽频繁,一年一跳不考虑        年龄超限       年龄超过33岁不考虑        最低学历       必须大专以上学历        其他项       1、3年以上Python开发经验，有ERP开发或者HCM开发经验；    2、熟悉面向对象编程方法和Linux系统基本操作；    3、熟悉HTML、CSS、Javascript、SQL等技术，了解XML、RESTful或WebService；              年龄要求       25-30岁之间优先     "
重庆立鼎科技有限公司,Python高级开发工程师,15K-20K,本科,1-3年,全职,民营,500-999人, 岗位职责 1) 参与项目业务需求分析和设计 2) 根据业务需求提供技术解决方案，设计软件架构 3) 根据不同的业务对象设计相应的实现方式，撰写相关设计文档 4) 负责公司管理平台产品的开发、测试等一系列工作 5) 根据上线的RPA产品产生的需求及问题，持续对产品进行优化 能力要求 1) 本科及以上学历，计算机、软件工程或相关专业 2) 流程自动化产品开发经验者优先 3) 精通Python（Web后端和前端）了解Java等的编程知识；  4) 熟悉XML、REST api和JSON;  5) 具有良好的DBMS知识和编写SQL查询的能力；  6) 熟悉常用的设计模式、数据结构、算法等，具有良好的编码规范 7) 有良好的学习能力、团队合作精神，良好的表达能力和沟通能力 8) 具有人工智能(NLP/机器学习/图像处理)背景知识优先； 9）具备一定的敏捷开发经验和能力  入职公司为上海研发中心。
郑州司达信息技术有限公司,Python开发工程师,13K-18K,本科,3-5年,全职,民营,100-499人,岗位责任：?负责公司大规模Python数据采集系统的前端和后端功能以及模块接口的开发;?参与Python和搜索系统前后技术框架。实施计划，负责技术规范的设计和实施;?不断提高输出产品的质量，性能和稳定性并对其进行优化。?完成新功能和模块的开发，学习和研究新技术，以不断满足新的产品需求;?领导团队成员进行任务分离，对接和技术评估。任职资格：?至少2年以上的软件开发经验?擅长Python，J2EE，Spring MVC，Hibernate。?能够熟练掌握调试技巧以及具备迅捷解决bug的能力?熟练掌握Linux和Mysql的使用，如果掌握任何前端技能，如JQuery，EasyUI将优先录用。?掌握良好的共同技巧以及优秀的团队协作能力?特别要求：英语简单交流
亿翰股份,Python算法工程师,15K-20K,本科,1-3年,全职,上市公司,100-499人,职位信息 1、负责自然语言处理，文本挖掘，机器学习等工作; 2、从事数学建模及数据挖掘应用方法研究; 2、根据业务需求，研究开发相关算法模型   岗位要求 1、全日制本科及以上学历，计算机或数学相关专业； 2、2-3年以上相关工作经验，熟悉Python编程语言，具备Python算法设计与程序开发能力； 3、熟悉数据结构，具备清晰的编程思路、良好的编码风格，能胜任复杂模块的编码； 4、对NLP有较深入的研究； 5、熟悉深度学习工具Tensoerflow /Caffe/Torch者优先； 6、良好的沟通能力，学习能力。 7、必须在(文本分析，语义分析，语义计算)有一个或多个作品。 8、具备良好的沟通协调能力和团队合作意识，工作踏实，态度积极，能够承受工作压力；  
大查柜(上海)网络科技有限公司,Python架构师,20K-30K,本科,5-10年,全职,民营,500-999人,   职位描述：       1、负责数据提取，统计，清洗，分析，可视化等数据分析处理工作。       2、负责数据分析，对业务问题进行深入分析，为业务的策略、产品优化提供数据支持       3、负责产品及方案的数据维度深度分析、规划，配合产品经理规划数据产品、并利用数据进行初步的可行性验证；       4、负责大数据模型和算法的开发、调试和修改，并配合研发人员实施落地。       5、负责数据分析报告的撰写。       岗位要求：       1. 本科以上学历，数学、统计、计算机相关专业，2年以上数据统计分析工作经验；       2. 熟练使用常用统计分析及可视化工具软件（如：SPSS、SAS、SQL、Tableau等）；       3. 了解Hadoop，spark并对数据分析挖掘算法有一定了解，熟悉Python、R等语言者优先。       4. 对Office工具精通，EXECl、PPT能熟练运用；       5. 对数据敏感，有较好的逻辑思维能力，能独立编写数据分析报告；       6. 工作严谨、责任心强，能承受工作压力        加分项：         有金融、财务、税务行业相关工作经验者优先。  
上海耸智信息科技有限公司,python开发(J10103),6K-8K,本科,1年以下,全职,民营,500-999人, 岗位职责: 1、参与安盛网销组爬虫工作； 2、参与安盛网销组用户行为大数据分析； 3、参加安盛网销组机器人项目的开发； 任职要求: 1、负责数据抓取； 2、负责针对各网站的安全策略进行破解； 3、负责大规模数据爬虫的性能优化工作： 4、掌握Python编程，熟悉JavaScript、Jquery； 5、熟悉网站或者APP的一般安全防御策略； 6、有爬虫工作经验优先。
Uniqsys优尼卡日本株式会社,日语Java/Python开发工程师-初级,5K-10K,本科,不限,全职,外商独资,20-99人,"※本职位为日本工作职位，简历请写明日语等级，不会日语的请勿投递，感谢配合！！！?工作地点：东京及周边?岗位要求：1、计算机相关专业本科以上学历，日语3级以上，能正确理解设计书内容，有过2年以上对日开发经验或有日语能力2级以上资格证书者优先录用；2、有以下任何一门开发语言有2年以上开发经验、或计算机专业毕业、或日语一计算机专业毕业即可：JAVA,.NET,C#,C++/C,SAP,PHP,COBOL,IOS,Android,Salesforce,Python,CRM(dynamicsAX)等；有上述开发语言资格证书、oracle金银牌、CCNA或CCNP等计算机软硬件相关证书者可优先录用；3、要求身体健康，有敬业精神，对工作认真负责，能主动积极应对各项任务，听从指挥，服从安排，诚实守信。4、能够接受长期日本出差。?薪资待遇：日本员工同等待遇，视日语水平，工作经验而定（20万～60万日元/月）免费宿舍，交通补助，定期加薪，免费培训，定期团建，员工旅游，节日福利等"
